Title,Release Date,Score,Developer,Publisher,Genre,Platforms,Image URL
RiffTrax: The Game,"May 5, 2022",79,Wide Right Interactive,Wide Right Interactive,Party/Minigame,"PC, Nintendo Switch",
Nickelodeon All-Star Brawl,"Oct 5, 2021",65,Ludosity Interactive,GameMill Entertainment,2D,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/Nickelodeon_All-Star_Brawl.jpg
If Found...,"May 18, 2020",84,dreamfeel,Annapurna Interactive,Adventure,"PC, Nintendo Switch",/public/game_images/If_Found....jpg
Granblue Fantasy: Relink,"Jan 29, 2024",80,Cygames,Cygames,Role-Playing,"PC, PlayStation 5",
WarioWare: Get It Together!,"Sep 10, 2021",76,Intelligent Systems,Nintendo,Party/Minigame,Nintendo Switch,
Sam & Max: Beyond Time and Space,"Dec 8, 2021",80,Telltale Games,Telltale Games,Adventure,"PC, Nintendo Switch",
Watch Dogs: Legion,"Oct 29, 2020",76,Ubisoft,Ubisoft,Action,"PC, PlayStation 5, Xbox Series X",
Aragami 2,"Sep 17, 2021",64,Lince Works,Arc System Works,Adventure,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Aragami_2.jpg
Sea of Stars,"Aug 29, 2023",87,Sabotage Studio,Sabotage Studio,Role-Playing,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Sea_of_Stars.jpg
Balatro,"Feb 20, 2024",90,LocalThunk,PlayStack,Card Game,"Nintendo Switch, PC, PlayStation 5, Xbox Series X",/public/game_images/Balatro.jpg
Venba,"Jul 31, 2023",79,Visai Games,Visai Games,Adventure,"PlayStation 5, PC, Nintendo Switch, Xbox Series X",/public/game_images/Venba.jpg
Ghost of Tsushima,"Jul 17, 2020",83,Nixxes Software,PlayStation PC,Action,"PC, PlayStation 5",/public/game_images/Ghost_of_Tsushima.jpg
Monster Hunter Rise,"Mar 26, 2021",88,Capcom,Capcom,Action,"PC, Nintendo Switch, PlayStation 5, Xbox Series X",/public/game_images/Monster_Hunter_Rise.jpg
